,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
6016,REVISTA DE INVESTIGACIONES-UNIVERSIDAD DEL QUINDIO,REV INVEST-QUINDIO,1794-631X,1794-631X,MULTIDISCIPLINARY SCIENCES - ESCI,18,,,0.04,87.67%
6017,REVISTA DE LA UNION MATEMATICA ARGENTINA,REV UNION MAT ARGENT,0041-6932,1669-9637,"MATHEMATICS, APPLIED - SCIE",200,0.657,Q4,0.42,98.99%
6018,REVISTA DE NEUROLOGIA,REV NEUROLOGIA,0210-0010,1576-6578,CLINICAL NEUROLOGY - SCIE,"2,067",1.235,Q4,0.25,0%
6019,REVISTA DE NUTRICAO-BRAZILIAN JOURNAL OF NUTRITION,REV NUTR,1415-5273,,NUTRITION & DIETETICS - SCIE,"1,043",1.141,Q4,0.14,80.99%
6020,REVISTA DE OSTEOPOROSIS Y METABOLISMO MINERAL,REV OSTEOPOR METAB M,1889-836X,2173-2345,ENDOCRINOLOGY & METABOLISM - ESCI,82,,,0.08,72.73%
6021,REVISTA DE PSICOLOGIA DEL DEPORTE,REV PSICOL DEPORTE,1132-239X,1988-5636,"PSYCHOLOGY, APPLIED - SSCI","1,152",0.936,Q4,0.26,0%
6022,REVISTA DE PSICOLOGIA PUCP,REV PSICOL-LIMA,0254-9247,2223-3733,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",118,,,0.12,93.83%
6023,REVISTA DE PSICOLOGIA SOCIAL,REV PSICOL SOC,0213-4748,1579-3680,"PSYCHOLOGY, SOCIAL - SSCI",426,0.913,Q4,0.19,0%
6024,REVISTA DE PSICOTERAPIA,REV PSICOTERAPIA,1130-5142,2339-7950,"PSYCHOLOGY, CLINICAL - ESCI",117,,,0.07,11.28%
6025,REVISTA DE SALUD AMBIENTAL,REV SALUD AMBIENT,1577-9572,1697-2791,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",52,,,0.06,0%
6026,REVISTA DE SALUD PUBLICA-CORDOBA,REV SALUD PUBLICA-CO,1853-1180,1852-9429,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",15,,,0.02,20%
6027,REVISTA DE SAUDE PUBLICA,REV SAUDE PUBL,0034-8910,1518-8787,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","6,124",2.772,Q3,0.66,94.09%
6028,REVISTA ESPANOLA DE MEDICINA NUCLEAR E IMAGEN MOLECULAR,REV ESP MED NUCL IMA,2253-654X,,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",611,1.247,Q4,0.31,0%
6029,REVISTA ESPANOLA DE ORIENTACION Y PSICOPEDAGOGIA,REV ESP ORIENTAC PSI,1989-7448,1989-7448,"PSYCHOLOGY, APPLIED - ESCI",252,,,0.2,55.56%
6030,REVISTA ESPANOLA DE QUIMIOTERAPIA,REV ESP QUIM,0214-3429,1988-9518,PHARMACOLOGY & PHARMACY - SCIE,822,2.515,Q3,0.38,0%
6031,REVISTA ESPANOLA DE SALUD PUBLICA,REV ESP SALUD PUBLIC,1135-5727,2173-9110,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,238",1.333,Q4,0.17,0%
6032,REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION-E AVALIACAO PSICOLOGICA,REV IBEROAM DIAGN EV,2183-6051,2183-6051,"PSYCHOLOGY, CLINICAL - SSCI",327,0.866,Q4,0.21,0%
6033,REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,REV IBEROAM PSICOL E,1886-8576,2340-7700,"PSYCHOLOGY, APPLIED - ESCI",254,,,0.19,0%
6034,REVISTA IBEROAMERICANA DE PSICOLOGIA Y SALUD,REV IBEROAM PSICOL S,2171-2069,1989-9246,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",178,,,0.92,82.76%
6035,REVISTA INNOVACIENCIA,REV INNOVACIENCIA,2346-075X,2346-075X,MULTIDISCIPLINARY SCIENCES - ESCI,2,,,0.01,89.58%
6036,REVISTA INVESTIGACIONES ALTOANDINAS-JOURNAL OF HIGH ANDEAN RESEARCH,REV INVESTIG ALTOAND,2306-8582,2313-2957,MULTIDISCIPLINARY SCIENCES - ESCI,86,,,0.08,100%
6037,REVISTA LATINOAMERICANA DE PSICOLOGIA,REV LAT AM PSICOL,0120-0534,,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",644,0.894,Q4,0.3,98.59%
6038,REVISTA MATEMATICA COMPLUTENSE,REV MAT COMPLUT,1139-1138,1988-2807,"MATHEMATICS, APPLIED - SCIE",559,1.009,Q4,0.71,16.11%
6039,REVISTA MEXICANA DE INGENIERIA QUIMICA,REV MEX ING QUIM,1665-2738,,"CHEMISTRY, APPLIED - SCIE","1,237",2.093,Q3,0.37,89.57%
6040,REVISTA MEXICANA DE PSICOLOGIA,REV MEX PSICOL,0185-6073,,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",248,0.636,Q4,0.23,0%
6041,REVISTA ORL,REV ORL,,2444-7986,OTORHINOLARYNGOLOGY - ESCI,22,,,0.04,83.76%
6043,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,REV PANAM SALUD PUBL,1020-4989,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,128",2.842,Q3,0.53,98.82%
6044,REVISTA PORTUGUESA DE ENDOCRINOLOGIA DIABETES E METABOLISMO,REV PORT ENDOCRINOL,1646-3439,1646-3439,ENDOCRINOLOGY & METABOLISM - ESCI,37,,,0.01,40.70%
6045,REVISTA UNIVAP,REV UNIVAP,1517-3275,2237-1753,MULTIDISCIPLINARY SCIENCES - ESCI,27,,,0.01,93.16%
6046,REVISTA VIRTUAL DE QUIMICA,REV VIRTUAL QUIM,1984-6835,1984-6835,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",629,,,0.06,65.52%
6048,REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,REV EPIDEMIOL SANTE,0398-7620,1773-0627,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",917,0.686,Q4,0.16,1.40%
6049,REVUE NEUROLOGIQUE,REV NEUROL-FRANCE,0035-3787,2213-0004,CLINICAL NEUROLOGY - SCIE,"3,295",4.313,Q2,0.59,3.18%
6050,REVUE ROUMAINE DE CHIMIE,REV ROUM CHIM,0035-3930,,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",862,0.41,Q4,0.06,0%
6052,REVUE ROUMAINE DES SCIENCES TECHNIQUES-SERIE ELECTROTECHNIQUE ET ENERGETIQUE,REV ROUM SCI TECH-EL,0035-4066,,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",313,0.67,Q4,0.16,0%
6053,RHINOLOGY,RHINOLOGY,0300-0729,0300-0729,OTORHINOLARYNGOLOGY - SCIE,"3,979",6.634,Q1,2.1,0%
6055,RICERCHE DI MATEMATICA,RIC MAT,0035-5038,1827-3491,"MATHEMATICS, APPLIED - SCIE",631,1.166,Q3,0.82,6.32%
6056,RISK ANALYSIS,RISK ANAL,0272-4332,1539-6924,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","13,641",4.302,Q2,1.3,20.74%
6057,RIVISTA DI PSICOLOGIA DELL EMERGENZA E DELL ASSISTENZA UMANITARIA,RIV PSICOL EMERG ASS,2280-9120,2280-9120,"PSYCHOLOGY, CLINICAL - ESCI",4,,,0.02,0%
6058,RIVISTA INTERNAZIONALE DI FILOSOFIA E PSICOLOGIA,RIV INT FILOS PSICOL,2039-4667,2239-2629,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",36,,,0.16,0%
6059,RNA,RNA,1355-8382,1469-9001,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"16,041",5.636,Q2,0.92,0%
6060,RNA BIOLOGY,RNA BIOL,1547-6286,1555-8584,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"9,936",4.766,Q2,0.74,30.66%
6061,RNA-A PUBLICATION OF THE RNA SOCIETY,RNA,1355-8382,1469-9001,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,130",5.249,Q1,,
6062,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,ROFO-FORTSCHR RONTG,1438-9029,1438-9010,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","1,930",2.295,Q3,0.45,1.80%
6063,ROYAL SOCIETY OPEN SCIENCE,ROY SOC OPEN SCI,2054-5703,2054-5703,MULTIDISCIPLINARY SCIENCES - SCIE,"14,988",3.653,Q2,0.8,99.75%
6064,RSC ADVANCES,RSC ADV,,2046-2069,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","208,414",4.036,Q2,0.57,99.45%
6066,RSC CHEMICAL BIOLOGY,RSC CHEM BIOL,2633-0679,2633-0679,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI,322,,,0.4,97.79%
6069,RSC MEDICINAL CHEMISTRY,RSC MED CHEM,,2632-8682,"CHEMISTRY, MEDICINAL - SCIE",600,3.47,Q3,0.63,17.41%
6071,RURAL AND REMOTE HEALTH,RURAL REMOTE HEALTH,1445-6354,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,538",2.733,Q3,0.42,99.15%
6072,RUSSIAN CHEMICAL BULLETIN,RUSS CHEM B+,1066-5285,1573-9171,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","5,549",1.704,Q4,0.21,0%
6074,RUSSIAN CHEMICAL REVIEWS,RUSS CHEM REV+,0036-021X,1468-4837,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","5,083",7.46,Q1,0.38,0%
6076,RUSSIAN JOURNAL OF APPLIED CHEMISTRY,RUSS J APPL CHEM+,1070-4272,1608-3296,"CHEMISTRY, APPLIED - SCIE","3,084",0.869,Q4,0.14,0%
6077,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,RUSS J BIOORG CHEM+,1068-1620,1608-330X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,423",1.254,Q4,0.19,3.06%
6078,RUSSIAN JOURNAL OF GENERAL CHEMISTRY,RUSS J GEN CHEM+,1070-3632,1608-3350,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","3,901",0.779,Q4,0.13,0.84%
6080,RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS,RUSS J MATH PHYS,1061-9208,1555-6638,"PHYSICS, MATHEMATICAL - SCIE",621,1.52,Q2,0.62,0%
6081,RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING,RUSS J NUMER ANAL M,0927-6467,1569-3988,"MATHEMATICS, APPLIED - SCIE",302,1.15,Q3,0.57,0%
6082,RUSSIAN JOURNAL OF PHYSICAL CHEMISTRY A,RUSS J PHYS CHEM A+,0036-0244,1531-863X,"CHEMISTRY, PHYSICAL - SCIE","4,195",0.791,Q4,0.1,1.11%
6083,SA JOURNAL OF INDUSTRIAL PSYCHOLOGY,SA J IND PSYCHOL,0258-5200,2071-0763,"PSYCHOLOGY, APPLIED - ESCI","1,235",,,0.5,90.82%
6084,SA JOURNAL OF RADIOLOGY,SA J RADIOL,1027-202X,2078-6778,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",161,,,0.17,87.65%
6085,SA PHARMACEUTICAL JOURNAL,SA PHARM J,2221-5875,2220-1017,PHARMACOLOGY & PHARMACY - ESCI,66,,,0.02,0%
6086,SAFETY,SAFETY,,2313-576X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",561,,,0.52,94.04%
6087,SAFETY AND HEALTH AT WORK,SAF HEALTH WORK-KR,2093-7911,2093-7997,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,982",4.045,Q2,0.96,99.52%
6088,SAHARA J-JOURNAL OF SOCIAL ASPECTS OF HIV-AIDS,SAHARA J-J SOC ASP H,1729-0376,1813-4424,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",439,2.0,Q4,0.63,100%
6089,SAIEE AFRICA RESEARCH JOURNAL,SAIEE AFR RES J,1991-1696,1991-1696,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",81,,,0.14,0%
6090,SAINS MALAYSIANA,SAINS MALAYS,0126-6039,,MULTIDISCIPLINARY SCIENCES - SCIE,"2,853",1.006,Q4,0.21,99.57%
6091,SALUD COLECTIVA,SALUD COLECT,1669-2381,1851-8265,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",313,0.727,Q4,0.18,99.08%
6092,SALUD PUBLICA DE MEXICO,SALUD PUBLICA MEXICO,0036-3634,1606-7916,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,660",2.259,Q3,0.63,77.07%
6093,SANTE PUBLIQUE,SANTE PUBLIQUE,0995-3914,2104-3841,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",498,0.294,Q4,0.07,0%
6094,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1062-936X,1029-046X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","1,555",3.681,Q2,0.72,3.52%
6097,SAUDE E SOCIEDADE,SAUDE SOC-SAO PAULO,0104-1290,1984-0470,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",843,0.5,Q4,0.12,98.30%
6098,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,SAUDI J BIOL SCI,1319-562X,2213-7106,BIOLOGY - SCIE,"9,217",4.052,Q2,1.01,99.27%
6099,SAUDI PHARMACEUTICAL JOURNAL,SAUDI PHARM J,1319-0164,2213-7475,PHARMACOLOGY & PHARMACY - SCIE,"5,778",4.562,Q2,1.08,99.62%
6100,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,SCAND J IMMUNOL,0300-9475,1365-3083,IMMUNOLOGY - SCIE,"8,447",3.889,Q3,0.46,25%
6101,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCAND J PSYCHOL,0036-5564,1467-9450,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","3,985",2.312,Q3,0.76,26.84%
6102,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,SCAND J PUBLIC HEALT,1403-4948,1651-1905,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","7,656",3.199,Q2,0.8,33.18%
6103,SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,SCAND J WORK ENV HEA,0355-3140,1795-990X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","6,743",5.492,Q1,1.17,90.22%
6104,SCHIZOPHRENIA RESEARCH-COGNITION,SCHIZOPHR RES-COGN,2215-0013,2215-0013,"PSYCHOLOGY, EXPERIMENTAL - ESCI",350,,,0.75,100%
6105,SCHMERZ,SCHMERZ,0932-433X,1432-2129,CLINICAL NEUROLOGY - SCIE,984,1.629,Q4,0.4,19.08%
6106,SCIENCE,SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE,"883,834",63.714,Q1,10.16,0.79%
6107,SCIENCE ADVANCES,SCI ADV,2375-2548,2375-2548,MULTIDISCIPLINARY SCIENCES - SCIE,"104,068",14.957,Q1,2.94,90.14%
6108,SCIENCE AND ENGINEERING ETHICS,SCI ENG ETHICS,1353-3452,1471-5546,MULTIDISCIPLINARY SCIENCES - SCIE,"3,529",3.777,Q2,3.07,35.64%
6109,SCIENCE AND INNOVATION,SCI INNOV,2409-9066,2413-4996,MULTIDISCIPLINARY SCIENCES - ESCI,88,,,0.05,0.59%
6110,SCIENCE AND TECHNOLOGY FOR THE BUILT ENVIRONMENT,SCI TECHNOL BUILT EN,2374-4731,2374-474X,"ENGINEERING, MECHANICAL - SCIE","1,383",2.094,Q3,0.41,8.98%
6111,SCIENCE AND TECHNOLOGY OF ENERGETIC MATERIALS,SCI TECHNOL ENERG MA,1347-9466,,"CHEMISTRY, APPLIED - SCIE; CHEMISTRY, PHYSICAL - SCIE",180,0.383,Q4,0.06,0%
6112,SCIENCE BULLETIN,SCI BULL,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES - SCIE,"13,517",20.577,Q1,2.19,8.70%
6113,SCIENCE CHINA-CHEMISTRY,SCI CHINA CHEM,1674-7291,1869-1870,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","9,248",10.138,Q1,1.31,0.93%
6115,SCIENCE CHINA-INFORMATION SCIENCES,SCI CHINA INFORM SCI,1674-733X,1869-1919,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","5,794",7.275,Q1,1.08,0.78%
6116,SCIENCE CHINA-LIFE SCIENCES,SCI CHINA LIFE SCI,1674-7305,1869-1889,BIOLOGY - SCIE,"7,316",10.372,Q1,1.89,1.05%
6117,SCIENCE CHINA-MATHEMATICS,SCI CHINA MATH,1674-7283,1869-1862,"MATHEMATICS, APPLIED - SCIE","2,081",1.157,Q3,0.98,0.21%
6118,SCIENCE DILIMAN,SCI DILIMAN,0115-7809,0115-7809,MULTIDISCIPLINARY SCIENCES - ESCI,45,,,0.03,0%
6119,SCIENCE IMMUNOLOGY,SCI IMMUNOL,2470-9468,2470-9468,IMMUNOLOGY - SCIE,"9,925",30.63,Q1,4.29,1.22%
6120,SCIENCE OF ADVANCED MATERIALS,SCI ADV MATER,1947-2935,1947-2943,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"1,811",1.067,Q4,0.22,0%
6121,SCIENCE OF DIABETES SELF-MANAGEMENT AND CARE,SCI DIABETES SELF-MA,2635-0106,2635-0114,"ENDOCRINOLOGY & METABOLISM - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",11,,,,3.03%
6122,SCIENCE OF NATURE,SCI NAT-HEIDELBERG,0028-1042,1432-1904,MULTIDISCIPLINARY SCIENCES - SCIE,"1,173",2.427,Q3,0.72,20.12%
6123,SCIENCE PROGRESS,SCI PROGRESS-UK,0036-8504,2047-7163,MULTIDISCIPLINARY SCIENCES - SCIE,"1,295",1.512,Q3,0.64,93.20%
6124,SCIENCE SIGNALING,SCI SIGNAL,1945-0877,1937-9145,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,"17,426",9.517,Q1,1.31,0%
6126,SCIENCE TRANSLATIONAL MEDICINE,SCI TRANSL MED,1946-6234,1946-6242,CELL BIOLOGY - SCIE,"52,639",19.319,Q1,3.5,0.66%
6128,SCIENCEASIA,SCIENCEASIA,1513-1874,,MULTIDISCIPLINARY SCIENCES - SCIE,"1,020",0.995,Q4,0.19,100%
6129,SCIENTIA PHARMACEUTICA,SCI PHARM,,2218-0532,PHARMACOLOGY & PHARMACY - ESCI,"1,733",,,0.7,97.83%
6130,SCIENTIFIC AFRICAN,SCI AFR,2468-2276,2468-2276,MULTIDISCIPLINARY SCIENCES - ESCI,"1,632",,,0.43,99.47%
6131,SCIENTIFIC DATA,SCI DATA,,2052-4463,MULTIDISCIPLINARY SCIENCES - SCIE,"17,754",8.501,Q1,1.84,99.81%
6132,SCIENTIFIC REPORTS,SCI REP-UK,2045-2322,2045-2322,MULTIDISCIPLINARY SCIENCES - SCIE,"696,320",4.996,Q2,1.05,99.59%
6133,SCIENTIFIC STUDY AND RESEARCH-CHEMISTRY AND CHEMICAL ENGINEERING BIOTECHNOLOGY FOOD INDUSTRY,SCI STUDY RES-CHEM C,1582-540X,1582-540X,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",213,,,0.08,0%
6135,SCIENTIFICA,SCIENTIFICA,2090-908X,2090-908X,BIOLOGY - ESCI,"2,292",,,0.59,98.37%
6136,SCIENTIST,SCIENTIST,0890-3670,1547-0806,MULTIDISCIPLINARY SCIENCES - SCIE,469,1.717,Q3,0.01,0%
6137,SCRIPTA MATERIALIA,SCRIPTA MATER,1359-6462,1872-8456,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"47,388",6.302,Q2,1.23,6.38%
6138,SEIKAGAKU,SEIKAGAKU,0037-1017,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,37,0.066,Q4,,
6139,SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,SEIZURE-EUR J EPILEP,1059-1311,1532-2688,NEUROSCIENCES - SCIE,"9,527",3.414,Q3,0.72,5.84%
6141,SELECTA MATHEMATICA-NEW SERIES,SEL MATH-NEW SER,1022-1824,1420-9020,"MATHEMATICS, APPLIED - SCIE","1,327",1.172,Q3,0.84,24.10%
6142,SELF AND IDENTITY,SELF IDENTITY,1529-8868,1529-8876,"PSYCHOLOGY, SOCIAL - SSCI","3,405",2.412,Q3,0.78,8.43%
6143,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,SEMICOND SCI TECH,0268-1242,1361-6641,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","9,410",2.048,Q3,0.4,5.69%
6144,SEMICONDUCTORS AND SEMIMETALS,SEMICONDUCT SEMIMET,0080-8784,,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",671,1.082,Q4,0.21,0%
6145,SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,1044-579X,1096-3650,ONCOLOGY - SCIE,"14,777",17.012,Q1,1.95,12.98%
6146,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,1084-9521,1096-3634,CELL BIOLOGY - SCIE,"14,105",7.727,Q1,0.91,10.50%
6148,SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,1044-5323,1096-3618,IMMUNOLOGY - SCIE,"7,732",10.671,Q1,0.93,22.06%
6149,SEMINARS IN IMMUNOPATHOLOGY,SEMIN IMMUNOPATHOL,1863-2297,1863-2300,IMMUNOLOGY - SCIE,"6,468",11.759,Q1,1.51,40.70%
6150,SEMINARS IN INTERVENTIONAL RADIOLOGY,SEMIN INTERVENT RAD,0739-9529,1098-8963,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","1,939",1.78,Q4,0.38,0%
6151,SEMINARS IN MUSCULOSKELETAL RADIOLOGY,SEMIN MUSCULOSKEL R,1089-7860,1098-898X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","1,205",1.675,Q4,0.4,0.52%
6152,SEMINARS IN NEUROLOGY,SEMIN NEUROL,0271-8235,1098-9021,CLINICAL NEUROLOGY - SCIE,"3,093",3.212,Q3,0.71,0%
6153,SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,0001-2998,1558-4623,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","3,081",4.802,Q2,0.95,6.67%
6154,SEMINARS IN ONCOLOGY,SEMIN ONCOL,0093-7754,1532-8708,ONCOLOGY - SCIE,"5,860",5.385,Q2,0.55,13.18%
6155,SEMINARS IN ONCOLOGY NURSING,SEMIN ONCOL NURS,0749-2081,1878-3449,ONCOLOGY - SCIE,"1,709",3.527,Q3,0.66,3.96%
6156,SEMINARS IN OPHTHALMOLOGY,SEMIN OPHTHALMOL,0882-0538,1744-5205,OPHTHALMOLOGY - SCIE,"2,161",2.246,Q3,0.72,3.61%
6157,SEMINARS IN PEDIATRIC NEUROLOGY,SEMIN PEDIATR NEUROL,1071-9091,1558-0776,CLINICAL NEUROLOGY - SCIE,"1,485",3.042,Q3,0.4,8.33%
6158,SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,1053-4296,1532-9461,ONCOLOGY - SCIE,"3,100",5.421,Q2,1.28,4.80%
6160,SEMINARS IN ROENTGENOLOGY,SEMIN ROENTGENOL,0037-198X,1558-4658,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",423,0.709,Q4,0.19,0%
6161,SEMINARS IN SPEECH AND LANGUAGE,SEMIN SPEECH LANG,0734-0478,1098-9056,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,"1,082",1.734,Q3,0.78,0%
6162,SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,0094-6176,1098-9064,PERIPHERAL VASCULAR DISEASE - SCIE,"5,623",6.415,Q1,0.89,3.01%
6163,SEMINARS IN ULTRASOUND CT AND MRI,SEMIN ULTRASOUND CT,0887-2171,1558-5034,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","1,402",1.641,Q4,0.42,0%
6164,SEMINARS IN VASCULAR SURGERY,SEMIN VASC SURG,0895-7967,1558-4518,PERIPHERAL VASCULAR DISEASE - SCIE,804,1.222,Q4,0.36,2.82%
6165,SENSORS,SENSORS-BASEL,,1424-8220,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","125,459",3.847,Q2,0.9,95.17%
6166,SENSORS AND ACTUATORS A-PHYSICAL,SENSOR ACTUAT A-PHYS,0924-4247,1873-3069,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","26,269",4.291,Q2,1.0,3.10%
6167,SENSORS AND ACTUATORS REPORTS,SENSOR ACTUATOR REP,2666-0539,2666-0539,NANOSCIENCE & NANOTECHNOLOGY - ESCI,166,,,0.73,100%
6168,SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,1542-2119,1542-2127,"CHEMISTRY, APPLIED - SCIE","1,513",7.889,Q1,1.02,1.23%
6169,SEPARATION SCIENCE AND TECHNOLOGY,SEP SCI TECHNOL,0149-6395,1520-5754,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","10,993",2.799,Q3,0.4,0.94%
6171,SET-VALUED AND VARIATIONAL ANALYSIS,SET-VALUED VAR ANAL,1877-0533,1877-0541,"MATHEMATICS, APPLIED - SCIE",619,1.433,Q2,0.91,14.47%
6172,SEX EDUCATION-SEXUALITY SOCIETY AND LEARNING,SEX EDUC-SEX SOC LEA,1468-1811,1472-0825,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,484",2.73,Q3,1.03,13.89%
6173,SEX ROLES,SEX ROLES,0360-0025,1573-2762,"PSYCHOLOGY, SOCIAL - SSCI","12,443",3.812,Q2,1.46,10.94%
6174,SEXOLOGIES,SEXOLOGIES,1158-1360,1878-1829,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",364,,,0.21,1.54%
6175,SEXUAL & REPRODUCTIVE HEALTHCARE,SEX REPROD HEALTHC,1877-5756,1877-5764,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,142",2.194,Q3,0.63,23.43%
6176,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,SEX ABUSE-J RES TR,1079-0632,1573-286X,"PSYCHOLOGY, CLINICAL - SSCI","2,000",2.883,Q3,1.22,10.46%
6177,SEXUAL ADDICTION & COMPULSIVITY-THE JOURNAL OF TREATMENT AND PREVENTION,SEX ADDICT COMPULS,1072-0162,1532-5318,"PSYCHOLOGY, CLINICAL - ESCI",597,,,0.44,0%
